id,name,icd_code,specialty,description,severity,chronic,treatment_available,prevalence
740,Congenital Pleural Effusion,J90.X,Pulmonology,"Congenital Pleural Effusion (ICD-10: J90.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Yes,Common
741,Moderate Migraine,G43.X,Neurology,"Moderate Migraine (ICD-10: G43.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Uncommon
742,Autoimmune Lumbar Disc Herniation,M51.1.X,Orthopedics,"Autoimmune Lumbar Disc Herniation (ICD-10: M51.1.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Uncommon
743,Primary Cervical Cancer Type 3,C53.X,Urology,"Primary Cervical Cancer Type 3 (ICD-10: C53.X) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
744,Mild Type 2 Diabetes Mellitus,E11.X,Endocrinology,"Mild Type 2 Diabetes Mellitus (ICD-10: E11.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Very Common
745,Acne Vulgaris,L70.0,Dermatology,"Acne Vulgaris (ICD-10: L70.0) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
746,Congenital Gout,M10.X,Rheumatology,"Congenital Gout (ICD-10: M10.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Yes,Common
747,Idiopathic Autism Spectrum Disorder,F84.X,Pediatrics,"Idiopathic Autism Spectrum Disorder (ICD-10: F84.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Very Common
748,Early-Onset Hypothyroidism,E03.X,Endocrinology,"Early-Onset Hypothyroidism (ICD-10: E03.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Very Common
749,Drug-Induced Hemorrhagic Stroke Type 1,I61.X,Neurology,"Drug-Induced Hemorrhagic Stroke Type 1 (ICD-10: I61.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Common
750,Acute Gastroesophageal Reflux Disease Type 2,K21.X,Gastroenterology,"Acute Gastroesophageal Reflux Disease Type 2 (ICD-10: K21.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
751,Early-Onset Aortic Stenosis Type 3,I35.0.X,Cardiology,"Early-Onset Aortic Stenosis Type 3 (ICD-10: I35.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Rare
752,Congenital Respiratory Failure,J96.X,Critical Care,"Congenital Respiratory Failure (ICD-10: J96.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Very Common
753,Autoimmune Bipolar Disorder,F31.X,Psychiatry,"Autoimmune Bipolar Disorder (ICD-10: F31.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Uncommon
754,Autoimmune Melanoma,C43.X,Vascular Surgery,"Autoimmune Melanoma (ICD-10: C43.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Common
755,Early-Onset Low Back Pain Type 3,M54.5.X,Orthopedics,"Early-Onset Low Back Pain Type 3 (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Rare
756,Idiopathic Low Back Pain Type 4,M54.5.X,Orthopedics,"Idiopathic Low Back Pain Type 4 (ICD-10: M54.5.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
757,Autoimmune Addison's Disease,E27.1.X,Endocrinology,"Autoimmune Addison's Disease (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Curative,Rare
758,Late-Onset Schizophrenia Type 2,F20.X,Psychiatry,"Late-Onset Schizophrenia Type 2 (ICD-10: F20.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
759,Idiopathic Rosacea Type 3,L71.X,Dermatology,"Idiopathic Rosacea Type 3 (ICD-10: L71.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
760,Idiopathic Mitral Regurgitation,I34.0.X,Cardiology,"Idiopathic Mitral Regurgitation (ICD-10: I34.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Rare
761,Late-Onset Intestinal Obstruction,K56.X,General Surgery,"Late-Onset Intestinal Obstruction (ICD-10: K56.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Yes,Uncommon
762,Drug-Induced Febrile Seizures,R56.0.X,Pediatrics,"Drug-Induced Febrile Seizures (ICD-10: R56.0.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
763,Congenital Febrile Seizures,R56.0.X,Pediatrics,"Congenital Febrile Seizures (ICD-10: R56.0.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Uncommon
764,Pleural Effusion,J90,Pulmonology,"Pleural Effusion (ICD-10: J90) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
765,Recurrent Osteoporosis,M81.X,Rheumatology,"Recurrent Osteoporosis (ICD-10: M81.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Rare
766,Chronic Parkinson's Disease,G20.X,Neurology,"Chronic Parkinson's Disease (ICD-10: G20.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Uncommon
767,Chronic Generalized Anxiety Disorder,F41.1.X,Psychiatry,"Chronic Generalized Anxiety Disorder (ICD-10: F41.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Uncommon
768,Autoimmune Pneumonia in Children,J18.9.X,Pediatrics,"Autoimmune Pneumonia in Children (ICD-10: J18.9.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Curative,Common
769,Moderate Polycystic Kidney Disease,Q61.3.X,Nephrology,"Moderate Polycystic Kidney Disease (ICD-10: Q61.3.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
770,Severe Obstructive Sleep Apnea,G47.3.X,Pulmonology,"Severe Obstructive Sleep Apnea (ICD-10: G47.3.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
771,Moderate Multiple Myeloma,C90.0.X,Vascular Surgery,"Moderate Multiple Myeloma (ICD-10: C90.0.X) is a clinical diagnosis managed under Vascular Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Yes,Very Common
772,Chronic Bell's Palsy Type 4,G51.0.X,Neurology,"Chronic Bell's Palsy Type 4 (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Common
773,Alopecia Areata,L63,Dermatology,"Alopecia Areata (ICD-10: L63) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Rare
774,Secondary Thalassemia,D56.X,Hematology,"Secondary Thalassemia (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Common
775,Autoimmune Addison's Disease Type 3,E27.1.X,Endocrinology,"Autoimmune Addison's Disease Type 3 (ICD-10: E27.1.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Uncommon
776,Vitiligo,L80,Dermatology,"Vitiligo (ICD-10: L80) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Rare
777,Drug-Induced Bronchiectasis Type 1,J47.X,Pulmonology,"Drug-Induced Bronchiectasis Type 1 (ICD-10: J47.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Common
778,Urinary Tract Infection,N39.0,Urology,"Urinary Tract Infection (ICD-10: N39.0) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Common
779,Chronic Bronchial Asthma,J45.X,Pulmonology,"Chronic Bronchial Asthma (ICD-10: J45.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Common
780,Recurrent Respiratory Failure,J96.X,Critical Care,"Recurrent Respiratory Failure (ICD-10: J96.X) is a clinical diagnosis managed under Critical Care. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Very Common
781,Autoimmune Pneumothorax,J93.X,Pulmonology,"Autoimmune Pneumothorax (ICD-10: J93.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Rare
782,Moderate Diabetes Insipidus Type 2,E23.2.X,Endocrinology,"Moderate Diabetes Insipidus Type 2 (ICD-10: E23.2.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Uncommon
783,Acute Uveitis,H20.X,Ophthalmology,"Acute Uveitis (ICD-10: H20.X) is a clinical diagnosis managed under Ophthalmology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
784,Severe Mitral Regurgitation,I34.0.X,Cardiology,"Severe Mitral Regurgitation (ICD-10: I34.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Uncommon
785,Drug-Induced Herpes Zoster,B02.X,Infectious Disease,"Drug-Induced Herpes Zoster (ICD-10: B02.X) is a clinical diagnosis managed under Infectious Disease. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Very Common
786,Drug-Induced Osteoporosis Type 2,M81.X,Rheumatology,"Drug-Induced Osteoporosis Type 2 (ICD-10: M81.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
787,Acute Multiple Myeloma,C90.0.X,Obstetrics,"Acute Multiple Myeloma (ICD-10: C90.0.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Uncommon
788,Early-Onset Nephrotic Syndrome,N04.X,Nephrology,"Early-Onset Nephrotic Syndrome (ICD-10: N04.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Curative,Uncommon
789,Drug-Induced Cervical Cancer,C53.X,Oncology,"Drug-Induced Cervical Cancer (ICD-10: C53.X) is a clinical diagnosis managed under Oncology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Very Common
790,Secondary Gout,M10.X,Rheumatology,"Secondary Gout (ICD-10: M10.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
791,Early-Onset Parkinson's Disease,G20.X,Neurology,"Early-Onset Parkinson's Disease (ICD-10: G20.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
792,Autoimmune Hypoparathyroidism Type 4,E20.X,Endocrinology,"Autoimmune Hypoparathyroidism Type 4 (ICD-10: E20.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Supportive,Very Common
793,Acute Migraine Type 1,G43.X,Neurology,"Acute Migraine Type 1 (ICD-10: G43.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Very Common
794,Major Depressive Disorder,F32,Psychiatry,"Major Depressive Disorder (ICD-10: F32) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Rare
795,Moderate Sickle Cell Disease,D57.X,Hematology,"Moderate Sickle Cell Disease (ICD-10: D57.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Very Common
796,Drug-Induced Pneumothorax,J93.X,Pulmonology,"Drug-Induced Pneumothorax (ICD-10: J93.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
797,Post-Operative Unstable Angina,I20.0.X,Cardiology,"Post-Operative Unstable Angina (ICD-10: I20.0.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Rare
798,Stable Angina Pectoris,I20,Cardiology,"Stable Angina Pectoris (ICD-10: I20) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Yes,Rare
799,Late-Onset Rheumatoid Arthritis,M06.X,Rheumatology,"Late-Onset Rheumatoid Arthritis (ICD-10: M06.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Supportive,Very Common
800,Primary Ischemic Stroke,I63.X,Neurology,"Primary Ischemic Stroke (ICD-10: I63.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Very Common
801,Primary Gastrointestinal Bleeding,K92.2.X,Gastroenterology,"Primary Gastrointestinal Bleeding (ICD-10: K92.2.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Very Common
802,Autoimmune Acromegaly,E22.0.X,Endocrinology,"Autoimmune Acromegaly (ICD-10: E22.0.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Common
803,Moderate Bell's Palsy,G51.0.X,Neurology,"Moderate Bell's Palsy (ICD-10: G51.0.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Uncommon
804,Recurrent Alcohol Use Disorder Type 4,F10.X,Psychiatry,"Recurrent Alcohol Use Disorder Type 4 (ICD-10: F10.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Common
805,Multiple Sclerosis,G35,Neurology,"Multiple Sclerosis (ICD-10: G35) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Curative,Common
806,Chronic Otitis Media,H65.X,ENT,"Chronic Otitis Media (ICD-10: H65.X) is a clinical diagnosis managed under ENT. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Yes,Rare
807,Secondary Lumbar Disc Herniation,M51.1.X,Orthopedics,"Secondary Lumbar Disc Herniation (ICD-10: M51.1.X) is a clinical diagnosis managed under Orthopedics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Yes,Common
808,Early-Onset Alcohol Use Disorder,F10.X,Psychiatry,"Early-Onset Alcohol Use Disorder (ICD-10: F10.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Uncommon
809,Recurrent Thalassemia,D56.X,Hematology,"Recurrent Thalassemia (ICD-10: D56.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Uncommon
810,Late-Onset Gout,M10.X,Rheumatology,"Late-Onset Gout (ICD-10: M10.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Supportive,Rare
811,Autoimmune Fibromyalgia,M79.7.X,Rheumatology,"Autoimmune Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Curative,Uncommon
812,Severe Nephritic Syndrome,N05.X,Nephrology,"Severe Nephritic Syndrome (ICD-10: N05.X) is a clinical diagnosis managed under Nephrology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Yes,Common
813,Recurrent Type 2 Diabetes Mellitus,E11.X,Endocrinology,"Recurrent Type 2 Diabetes Mellitus (ICD-10: E11.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Yes,Uncommon
814,Hypoparathyroidism,E20,Endocrinology,"Hypoparathyroidism (ICD-10: E20) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Yes,Uncommon
815,Post-Operative Heart Failure Type 3,I50.X,Cardiology,"Post-Operative Heart Failure Type 3 (ICD-10: I50.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Common
816,Recurrent Community-Acquired Pneumonia Type 4,J18.X,Pulmonology,"Recurrent Community-Acquired Pneumonia Type 4 (ICD-10: J18.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Uncommon
817,Severe Obsessive-Compulsive Disorder Type 1,F42.X,Psychiatry,"Severe Obsessive-Compulsive Disorder Type 1 (ICD-10: F42.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Yes,Yes,Common
818,Secondary Acute Pancreatitis Type 2,K85.X,Gastroenterology,"Secondary Acute Pancreatitis Type 2 (ICD-10: K85.X) is a clinical diagnosis managed under Gastroenterology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Yes,Uncommon
819,Secondary Atrioventricular Block,I44.X,Cardiology,"Secondary Atrioventricular Block (ICD-10: I44.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Curative,Very Common
820,Chronic Rosacea Type 4,L71.X,Dermatology,"Chronic Rosacea Type 4 (ICD-10: L71.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Supportive,Rare
821,COPD,J44,Pulmonology,"COPD (ICD-10: J44) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Curative,Common
822,Secondary Acromegaly,E22.0.X,Endocrinology,"Secondary Acromegaly (ICD-10: E22.0.X) is a clinical diagnosis managed under Endocrinology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,No,Supportive,Uncommon
823,Acute Gestational Diabetes Mellitus,O24.4.X,Obstetrics,"Acute Gestational Diabetes Mellitus (ICD-10: O24.4.X) is a clinical diagnosis managed under Obstetrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Very Common
824,Early-Onset Hemorrhagic Stroke,I61.X,Neurology,"Early-Onset Hemorrhagic Stroke (ICD-10: I61.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Supportive,Common
825,Moderate Uterine Fibroids,D25.X,Gynecology,"Moderate Uterine Fibroids (ICD-10: D25.X) is a clinical diagnosis managed under Gynecology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Rare
826,Post-Operative Eczema/Atopic Dermatitis,L20.X,Dermatology,"Post-Operative Eczema/Atopic Dermatitis (ICD-10: L20.X) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Uncommon
827,Early-Onset Fibromyalgia,M79.7.X,Rheumatology,"Early-Onset Fibromyalgia (ICD-10: M79.7.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Yes,Supportive,Very Common
828,Moderate Intestinal Obstruction,K56.X,General Surgery,"Moderate Intestinal Obstruction (ICD-10: K56.X) is a clinical diagnosis managed under General Surgery. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Severe,Variable,Curative,Common
829,Melanoma,C43,Urology,"Melanoma (ICD-10: C43) is a clinical diagnosis managed under Urology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Variable,Yes,Very Common
830,Unstable Angina,I20.0,Cardiology,"Unstable Angina (ICD-10: I20.0) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
831,Post-Operative Iron Deficiency Anemia,D50.X,Hematology,"Post-Operative Iron Deficiency Anemia (ICD-10: D50.X) is a clinical diagnosis managed under Hematology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Variable,Supportive,Rare
832,Chronic Multiple Myeloma,C90.0.X,Hepatology,"Chronic Multiple Myeloma (ICD-10: C90.0.X) is a clinical diagnosis managed under Hepatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Curative,Uncommon
833,Secondary Heart Failure,I50.X,Cardiology,"Secondary Heart Failure (ICD-10: I50.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Curative,Uncommon
834,Early-Onset Pericarditis Type 2,I30.X,Cardiology,"Early-Onset Pericarditis Type 2 (ICD-10: I30.X) is a clinical diagnosis managed under Cardiology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,Yes,Supportive,Very Common
835,Moderate Systemic Lupus Erythematosus,M32.X,Rheumatology,"Moderate Systemic Lupus Erythematosus (ICD-10: M32.X) is a clinical diagnosis managed under Rheumatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Rare
836,Mild Bronchial Asthma,J45.X,Pulmonology,"Mild Bronchial Asthma (ICD-10: J45.X) is a clinical diagnosis managed under Pulmonology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,No,Curative,Rare
837,Idiopathic Generalized Anxiety Disorder,F41.1.X,Psychiatry,"Idiopathic Generalized Anxiety Disorder (ICD-10: F41.1.X) is a clinical diagnosis managed under Psychiatry. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,Yes,Supportive,Very Common
838,Severe Alzheimer's Disease Type 2,G30.X,Neurology,"Severe Alzheimer's Disease Type 2 (ICD-10: G30.X) is a clinical diagnosis managed under Neurology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Mild,No,Curative,Uncommon
839,Moderate Kawasaki Disease,M30.3.X,Pediatrics,"Moderate Kawasaki Disease (ICD-10: M30.3.X) is a clinical diagnosis managed under Pediatrics. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Variable,Variable,Supportive,Rare
840,Urticaria,L50,Dermatology,"Urticaria (ICD-10: L50) is a clinical diagnosis managed under Dermatology. Characterized by a range of symptoms requiring thorough clinical evaluation, diagnostic workup, and individualized treatment planning.",Moderate,No,Supportive,Very Common
