id,name,generic_name,category,manufacturer,dosage_form,strength,description,drug_class,prescription_required,storage
730,Formoterol SR,Formoterol SR,Oncology,Abbott India,Inhaler,25mg,Formoterol SR 25mg Inhaler is a long-acting bronchodilator used in the management of various conditions. Manufactured by Abbott India. Each inhaler contains 25mg of active ingredient.,Long-Acting Bronchodilator,Yes,Refrigerate 2-8°C
731,Digoxin Extended Release,Digoxin,Antihypertensive,Pfizer India,Tablet,20mg,Digoxin Extended Release 20mg Tablet is a cardiac glycoside used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 20mg of active ingredient.,Cardiac Glycoside,Yes,Store in dry place
732,Metoprolol,Metoprolol,Antimalarial,Aristo Pharma,Tablet,50mg,Metoprolol 50mg Tablet is a beta blocker used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,Beta Blocker,Yes,Refrigerate 2-8°C
733,Apixaban Sustained Release,Apixaban,Immunosuppressant,Sun Pharma,Tablet,500mg,Apixaban Sustained Release 500mg Tablet is a noac used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 500mg of active ingredient.,NOAC,Yes,Store below 25°C
734,Dextromethorphan Extended Release,Dextromethorphan,Antibiotic,Glenmark,Syrup,100mg,Dextromethorphan Extended Release 100mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Glenmark. Each syrup contains 100mg of active ingredient.,Cough Suppressant,Yes,Store away from light
735,Tacrolimus Junior,Tacrolimus Junior,Anticoagulant,Glenmark,Capsule,1g,Tacrolimus Junior 1g Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Glenmark. Each capsule contains 1g of active ingredient.,Immunosuppressant,Yes,Store in dry place
736,Rivaroxaban IV 735,Rivaroxaban IV,Antipsychotic,Mankind Pharma,Tablet,1g,Rivaroxaban IV 735 1g Tablet is a noac used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 1g of active ingredient.,NOAC,No,Store below 25°C
737,Cyclosporine XR,Cyclosporine XR,Antimalarial,Max Healthcare Pharma,Capsule,1g,Cyclosporine XR 1g Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each capsule contains 1g of active ingredient.,Immunosuppressant,No,Store below 25°C
738,Prednisolone Dispersible,Prednisolone Dispersible,Antimalarial,Himalaya,Tablet,25mg,Prednisolone Dispersible 25mg Tablet is a corticosteroid used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 25mg of active ingredient.,Corticosteroid,Yes,Store away from light
739,Candesartan,Candesartan,Urological,Mankind Pharma,Tablet,8mg,Candesartan 8mg Tablet is a arb used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 8mg of active ingredient.,ARB,Yes,Store away from light
740,Perindopril SR,Perindopril SR,Bronchodilator,Zydus Cadila,Tablet,1g,Perindopril SR 1g Tablet is a ace inhibitor used in the management of various conditions. Manufactured by Zydus Cadila. Each tablet contains 1g of active ingredient.,ACE Inhibitor,No,Store in dry place
741,Tacrolimus Junior 740,Tacrolimus Junior,Antiviral,Torrent Pharma,Capsule,500mg,Tacrolimus Junior 740 500mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Torrent Pharma. Each capsule contains 500mg of active ingredient.,Immunosuppressant,No,Store in dry place
742,Digoxin Plus,Digoxin,Antimalarial,IPCA Labs,Tablet,20mg,Digoxin Plus 20mg Tablet is a cardiac glycoside used in the management of various conditions. Manufactured by IPCA Labs. Each tablet contains 20mg of active ingredient.,Cardiac Glycoside,Yes,Store below 25°C
743,Oseltamivir IV,Oseltamivir IV,Immunosuppressant,Dr. Reddy's,Capsule,100mg,Oseltamivir IV 100mg Capsule is a antiviral used in the management of various conditions. Manufactured by Dr. Reddy's. Each capsule contains 100mg of active ingredient.,Antiviral,Yes,Store in dry place
744,Permethrin Sustained Release,Permethrin,Antimalarial,Aurobindo Pharma,Cream,50mg,Permethrin Sustained Release 50mg Cream is a antiparasitic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each cream contains 50mg of active ingredient.,Antiparasitic,No,Store in dry place
745,Imatinib SR,Imatinib SR,Corticosteroid,Max Healthcare Pharma,Tablet,1g,Imatinib SR 1g Tablet is a tyrosine kinase inhibitor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 1g of active ingredient.,Tyrosine Kinase Inhibitor,No,Store below 25°C
746,Verapamil,Verapamil,Oncology,Glenmark,Tablet,80mg,Verapamil 80mg Tablet is a calcium channel blocker used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 80mg of active ingredient.,Calcium Channel Blocker,Yes,Store in dry place
747,Vitamin B Complex Junior,Vitamin B Complex Junior,Ophthalmic,Aristo Pharma,Tablet,50mg,Vitamin B Complex Junior 50mg Tablet is a vitamin used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,Vitamin,Yes,Store in dry place
748,Theophylline,Theophylline,Antimalarial,Aristo Pharma,Tablet,200mg,Theophylline 200mg Tablet is a xanthine bronchodilator used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 200mg of active ingredient.,Xanthine Bronchodilator,Yes,Store away from light
749,Formoterol Junior,Formoterol Junior,Dermatological,Zydus Cadila,Inhaler,500mg,Formoterol Junior 500mg Inhaler is a long-acting bronchodilator used in the management of various conditions. Manufactured by Zydus Cadila. Each inhaler contains 500mg of active ingredient.,Long-Acting Bronchodilator,No,Refrigerate 2-8°C
750,Amiodarone SR 749,Amiodarone SR,Antiviral,Aurobindo Pharma,Tablet,500mg,Amiodarone SR 749 500mg Tablet is a antiarrhythmic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 500mg of active ingredient.,Antiarrhythmic,Yes,Store in dry place
751,Warfarin XR,Warfarin XR,Oncology,Novartis India,Tablet,100mg,Warfarin XR 100mg Tablet is a anticoagulant used in the management of various conditions. Manufactured by Novartis India. Each tablet contains 100mg of active ingredient.,Anticoagulant,Yes,Store away from light
752,Mycophenolate Mofetil Forte,Mycophenolate Mofetil Forte,Antipsychotic,Elder Pharma,Tablet,100mg,Mycophenolate Mofetil Forte 100mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 100mg of active ingredient.,Immunosuppressant,No,Refrigerate 2-8°C
753,Sertraline Dispersible 752,Sertraline Dispersible,Urological,Johnson & Johnson,Tablet,100mg,Sertraline Dispersible 752 100mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 100mg of active ingredient.,SSRI Antidepressant,Yes,Store away from light
754,Ranitidine,Ranitidine,Hormonal,Lupin,Tablet,150mg,Ranitidine 150mg Tablet is a h2 blocker used in the management of various conditions. Manufactured by Lupin. Each tablet contains 150mg of active ingredient.,H2 Blocker,Yes,Store in dry place
755,Cyclosporine,Cyclosporine,Antidiabetic,Aristo Pharma,Capsule,100mg,Cyclosporine 100mg Capsule is a immunosuppressant used in the management of various conditions. Manufactured by Aristo Pharma. Each capsule contains 100mg of active ingredient.,Immunosuppressant,Yes,Refrigerate 2-8°C
756,Insulin Glargine Dispersible 755,Insulin Glargine Dispersible,Antiviral,Mankind Pharma,Injection,25mg,Insulin Glargine Dispersible 755 25mg Injection is a long-acting insulin used in the management of various conditions. Manufactured by Mankind Pharma. Each injection contains 25mg of active ingredient.,Long-Acting Insulin,Yes,Store below 25°C
757,Remdesivir Sustained Release,Remdesivir,Dermatological,Johnson & Johnson,Injection,25mg,Remdesivir Sustained Release 25mg Injection is a antiviral used in the management of various conditions. Manufactured by Johnson & Johnson. Each injection contains 25mg of active ingredient.,Antiviral,Yes,Store in dry place
758,Metoclopramide Dispersible 757,Metoclopramide Dispersible,Ophthalmic,Aurobindo Pharma,Tablet,250mg,Metoclopramide Dispersible 757 250mg Tablet is a antiemetic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 250mg of active ingredient.,Antiemetic,Yes,Store below 25°C
759,Insulin Glargine,Insulin Glargine,Statin,Novartis India,Injection,100U/ml,Insulin Glargine 100U/ml Injection is a long-acting insulin used in the management of various conditions. Manufactured by Novartis India. Each injection contains 100U/ml of active ingredient.,Long-Acting Insulin,Yes,Refrigerate 2-8°C
760,Fenofibrate SR 759,Fenofibrate SR,Statin,Johnson & Johnson,Tablet,1g,Fenofibrate SR 759 1g Tablet is a fibrate used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 1g of active ingredient.,Fibrate,Yes,Store in dry place
761,Bevacizumab Sustained Release,Bevacizumab,Dermatological,Glenmark,Injection,250mg,Bevacizumab Sustained Release 250mg Injection is a vegf inhibitor used in the management of various conditions. Manufactured by Glenmark. Each injection contains 250mg of active ingredient.,VEGF Inhibitor,Yes,Refrigerate 2-8°C
762,Mupirocin Forte 761,Mupirocin Forte,Urological,Novartis India,Ointment,20mg,Mupirocin Forte 761 20mg Ointment is a topical antibiotic used in the management of various conditions. Manufactured by Novartis India. Each ointment contains 20mg of active ingredient.,Topical Antibiotic,Yes,Store in dry place
763,Salbutamol SR 762,Salbutamol SR,Urological,Elder Pharma,Inhaler,100mg,Salbutamol SR 762 100mg Inhaler is a bronchodilator used in the management of various conditions. Manufactured by Elder Pharma. Each inhaler contains 100mg of active ingredient.,Bronchodilator,Yes,Store away from light
764,Ketorolac Forte,Ketorolac Forte,Corticosteroid,Himalaya,Injection,100mg,Ketorolac Forte 100mg Injection is a nsaid used in the management of various conditions. Manufactured by Himalaya. Each injection contains 100mg of active ingredient.,NSAID,Yes,Store below 25°C
765,Tiotropium,Tiotropium,Cardiac,Sanofi India,Inhaler,18mcg/dose,Tiotropium 18mcg/dose Inhaler is a anticholinergic bronchodilator used in the management of various conditions. Manufactured by Sanofi India. Each inhaler contains 18mcg/dose of active ingredient.,Anticholinergic Bronchodilator,Yes,Refrigerate 2-8°C
766,Losartan,Losartan,Antibiotic,Mankind Pharma,Tablet,50mg,Losartan 50mg Tablet is a arb used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 50mg of active ingredient.,ARB,Yes,Store below 25°C
767,Apixaban Plus,Apixaban,Oncology,Sun Pharma,Tablet,20mg,Apixaban Plus 20mg Tablet is a noac used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 20mg of active ingredient.,NOAC,Yes,Store below 25°C
768,Meropenem IV,Meropenem IV,Analgesic,Mankind Pharma,Injection,10mg,Meropenem IV 10mg Injection is a antibiotic used in the management of various conditions. Manufactured by Mankind Pharma. Each injection contains 10mg of active ingredient.,Antibiotic,No,Store away from light
769,Rabeprazole,Rabeprazole,Hormonal,Himalaya,Tablet,20mg,Rabeprazole 20mg Tablet is a proton pump inhibitor used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 20mg of active ingredient.,Proton Pump Inhibitor,Yes,Store in dry place
770,Doxycycline XR,Doxycycline XR,Antiviral,Himalaya,Capsule,20mg,Doxycycline XR 20mg Capsule is a antibiotic used in the management of various conditions. Manufactured by Himalaya. Each capsule contains 20mg of active ingredient.,Antibiotic,Yes,Store away from light
771,Methotrexate SR 770,Methotrexate SR,Vitamin/Supplement,Wockhardt,Tablet,25mg,Methotrexate SR 770 25mg Tablet is a dmard/immunosuppressant used in the management of various conditions. Manufactured by Wockhardt. Each tablet contains 25mg of active ingredient.,DMARD/Immunosuppressant,No,Refrigerate 2-8°C
772,Amiodarone XR,Amiodarone XR,Statin,Aurobindo Pharma,Tablet,25mg,Amiodarone XR 25mg Tablet is a antiarrhythmic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 25mg of active ingredient.,Antiarrhythmic,No,Store away from light
773,Vitamin D3 Extended Release,Vitamin D3,Antifungal,Torrent Pharma,Tablet,50mg,Vitamin D3 Extended Release 50mg Tablet is a vitamin used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 50mg of active ingredient.,Vitamin,No,Store in dry place
774,Albendazole SR,Albendazole SR,Statin,Johnson & Johnson,Tablet,10mg,Albendazole SR 10mg Tablet is a anthelmintic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 10mg of active ingredient.,Anthelmintic,No,Store below 25°C
775,Artemether-Lumefantrine Sustained Release,Artemether-Lumefantrine,Ophthalmic,Dr. Reddy's,Tablet,1g,Artemether-Lumefantrine Sustained Release 1g Tablet is a antimalarial used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 1g of active ingredient.,Antimalarial,Yes,Refrigerate 2-8°C
776,Voriconazole IV,Voriconazole IV,Immunosuppressant,Dabur Pharma,Tablet,100mg,Voriconazole IV 100mg Tablet is a antifungal used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 100mg of active ingredient.,Antifungal,Yes,Refrigerate 2-8°C
777,Imatinib Junior 776,Imatinib Junior,Statin,Dr. Reddy's,Tablet,250mg,Imatinib Junior 776 250mg Tablet is a tyrosine kinase inhibitor used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 250mg of active ingredient.,Tyrosine Kinase Inhibitor,Yes,Store away from light
778,Alprazolam SR,Alprazolam SR,Dermatological,Himalaya,Tablet,25mg,Alprazolam SR 25mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 25mg of active ingredient.,Benzodiazepine,Yes,Refrigerate 2-8°C
779,Progesterone XR 778,Progesterone XR,Cardiac,Emcure Pharma,Capsule,250mg,Progesterone XR 778 250mg Capsule is a progestogen used in the management of various conditions. Manufactured by Emcure Pharma. Each capsule contains 250mg of active ingredient.,Progestogen,Yes,Store away from light
780,Empagliflozin Forte,Empagliflozin Forte,Corticosteroid,Glenmark,Tablet,100mg,Empagliflozin Forte 100mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Glenmark. Each tablet contains 100mg of active ingredient.,SGLT2 Inhibitor,No,Refrigerate 2-8°C
781,Gabapentin IV,Gabapentin IV,Dermatological,Wockhardt,Capsule,1g,Gabapentin IV 1g Capsule is a antiepileptic/neuropathic pain used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 1g of active ingredient.,Antiepileptic/Neuropathic Pain,Yes,Store away from light
782,Ivabradine Sustained Release,Ivabradine,Bronchodilator,Dabur Pharma,Tablet,100mg,Ivabradine Sustained Release 100mg Tablet is a if-channel blocker used in the management of various conditions. Manufactured by Dabur Pharma. Each tablet contains 100mg of active ingredient.,If-Channel Blocker,Yes,Store away from light
783,Empagliflozin SR,Empagliflozin SR,Hormonal,Aristo Pharma,Tablet,50mg,Empagliflozin SR 50mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 50mg of active ingredient.,SGLT2 Inhibitor,Yes,Store below 25°C
784,Calcium Carbonate Sustained Release 783,Calcium Carbonate,Hormonal,Cipla,Tablet,50mg,Calcium Carbonate Sustained Release 783 50mg Tablet is a calcium supplement used in the management of various conditions. Manufactured by Cipla. Each tablet contains 50mg of active ingredient.,Calcium Supplement,Yes,Store in dry place
785,Sertraline Sustained Release,Sertraline,Hormonal,Lupin,Tablet,250mg,Sertraline Sustained Release 250mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Lupin. Each tablet contains 250mg of active ingredient.,SSRI Antidepressant,Yes,Store below 25°C
786,Permethrin,Permethrin,NSAID,Abbott India,Cream,5%,Permethrin 5% Cream is a antiparasitic used in the management of various conditions. Manufactured by Abbott India. Each cream contains 5% of active ingredient.,Antiparasitic,Yes,Store away from light
787,Chloroquine Dispersible,Chloroquine Dispersible,Antihypertensive,Micro Labs,Tablet,50mg,Chloroquine Dispersible 50mg Tablet is a antimalarial used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 50mg of active ingredient.,Antimalarial,Yes,Refrigerate 2-8°C
788,Sacubitril-Valsartan IV,Sacubitril-Valsartan IV,Ophthalmic,Aurobindo Pharma,Tablet,10mg,Sacubitril-Valsartan IV 10mg Tablet is a arni used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 10mg of active ingredient.,ARNi,Yes,Store in dry place
789,Codeine Sustained Release 788,Codeine,Antibiotic,Sanofi India,Tablet,10mg,Codeine Sustained Release 788 10mg Tablet is a opioid analgesic used in the management of various conditions. Manufactured by Sanofi India. Each tablet contains 10mg of active ingredient.,Opioid Analgesic,Yes,Store below 25°C
790,Ipratropium,Ipratropium,Antimalarial,Aurobindo Pharma,Inhaler,20mcg/dose,Ipratropium 20mcg/dose Inhaler is a anticholinergic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each inhaler contains 20mcg/dose of active ingredient.,Anticholinergic,Yes,Store in dry place
791,Pregabalin,Pregabalin,Corticosteroid,Wockhardt,Capsule,75mg,Pregabalin 75mg Capsule is a antiepileptic/neuropathic pain used in the management of various conditions. Manufactured by Wockhardt. Each capsule contains 75mg of active ingredient.,Antiepileptic/Neuropathic Pain,Yes,Store in dry place
792,Tamsulosin,Tamsulosin,Antibiotic,Pfizer India,Capsule,0.4mg,Tamsulosin 0.4mg Capsule is a alpha blocker used in the management of various conditions. Manufactured by Pfizer India. Each capsule contains 0.4mg of active ingredient.,Alpha Blocker,Yes,Store in dry place
793,Levothyroxine SR,Levothyroxine SR,Ophthalmic,Cipla,Tablet,50mg,Levothyroxine SR 50mg Tablet is a thyroid hormone used in the management of various conditions. Manufactured by Cipla. Each tablet contains 50mg of active ingredient.,Thyroid Hormone,Yes,Refrigerate 2-8°C
794,Escitalopram Sustained Release 793,Escitalopram,Antibiotic,Elder Pharma,Tablet,1g,Escitalopram Sustained Release 793 1g Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 1g of active ingredient.,SSRI Antidepressant,Yes,Store below 25°C
795,Losartan SR 794,Losartan SR,Immunosuppressant,Mankind Pharma,Tablet,20mg,Losartan SR 794 20mg Tablet is a arb used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 20mg of active ingredient.,ARB,Yes,Refrigerate 2-8°C
796,Clonazepam Sustained Release,Clonazepam,Antihypertensive,Micro Labs,Tablet,25mg,Clonazepam Sustained Release 25mg Tablet is a benzodiazepine used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 25mg of active ingredient.,Benzodiazepine,Yes,Store in dry place
797,Semaglutide Sustained Release 796,Semaglutide,Dermatological,Abbott India,Injection,10mg,Semaglutide Sustained Release 796 10mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by Abbott India. Each injection contains 10mg of active ingredient.,GLP-1 Agonist,Yes,Store in dry place
798,Candesartan Sustained Release,Candesartan,Analgesic,Alkem Labs,Tablet,20mg,Candesartan Sustained Release 20mg Tablet is a arb used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 20mg of active ingredient.,ARB,Yes,Refrigerate 2-8°C
799,Formoterol Forte,Formoterol Forte,NSAID,Elder Pharma,Inhaler,50mg,Formoterol Forte 50mg Inhaler is a long-acting bronchodilator used in the management of various conditions. Manufactured by Elder Pharma. Each inhaler contains 50mg of active ingredient.,Long-Acting Bronchodilator,No,Store away from light
800,Ciprofloxacin SR 799,Ciprofloxacin SR,Anticoagulant,Torrent Pharma,Tablet,10mg,Ciprofloxacin SR 799 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Torrent Pharma. Each tablet contains 10mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
801,Lamotrigine Dispersible,Lamotrigine Dispersible,Anticoagulant,Aurobindo Pharma,Tablet,500mg,Lamotrigine Dispersible 500mg Tablet is a antiepileptic used in the management of various conditions. Manufactured by Aurobindo Pharma. Each tablet contains 500mg of active ingredient.,Antiepileptic,Yes,Store in dry place
802,Sacubitril-Valsartan SR,Sacubitril-Valsartan SR,Statin,Dr. Reddy's,Tablet,50mg,Sacubitril-Valsartan SR 50mg Tablet is a arni used in the management of various conditions. Manufactured by Dr. Reddy's. Each tablet contains 50mg of active ingredient.,ARNi,No,Store away from light
803,Levofloxacin,Levofloxacin,Antifungal,Max Healthcare Pharma,Tablet,500mg,Levofloxacin 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 500mg of active ingredient.,Antibiotic,Yes,Refrigerate 2-8°C
804,Ciprofloxacin,Ciprofloxacin,Antimalarial,Johnson & Johnson,Tablet,500mg,Ciprofloxacin 500mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 500mg of active ingredient.,Antibiotic,No,Refrigerate 2-8°C
805,Tamoxifen Junior,Tamoxifen Junior,NSAID,Elder Pharma,Tablet,20mg,Tamoxifen Junior 20mg Tablet is a anti-estrogen used in the management of various conditions. Manufactured by Elder Pharma. Each tablet contains 20mg of active ingredient.,Anti-Estrogen,Yes,Store below 25°C
806,Liraglutide Forte,Liraglutide Forte,Antidepressant,GSK India,Injection,100mg,Liraglutide Forte 100mg Injection is a glp-1 agonist used in the management of various conditions. Manufactured by GSK India. Each injection contains 100mg of active ingredient.,GLP-1 Agonist,Yes,Store below 25°C
807,Azithromycin Plus,Azithromycin,Antimalarial,Pfizer India,Tablet,10mg,Azithromycin Plus 10mg Tablet is a antibiotic used in the management of various conditions. Manufactured by Pfizer India. Each tablet contains 10mg of active ingredient.,Antibiotic,Yes,Store away from light
808,Trastuzumab Forte,Trastuzumab Forte,Immunosuppressant,Mankind Pharma,Injection,250mg,Trastuzumab Forte 250mg Injection is a her2 inhibitor used in the management of various conditions. Manufactured by Mankind Pharma. Each injection contains 250mg of active ingredient.,HER2 Inhibitor,No,Store away from light
809,Montelukast IV 808,Montelukast IV,Oncology,Johnson & Johnson,Tablet,20mg,Montelukast IV 808 20mg Tablet is a leukotriene receptor antagonist used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 20mg of active ingredient.,Leukotriene Receptor Antagonist,Yes,Store away from light
810,Mycophenolate Mofetil XR,Mycophenolate Mofetil XR,Statin,Alkem Labs,Tablet,100mg,Mycophenolate Mofetil XR 100mg Tablet is a immunosuppressant used in the management of various conditions. Manufactured by Alkem Labs. Each tablet contains 100mg of active ingredient.,Immunosuppressant,Yes,Store below 25°C
811,Calcium Carbonate XR,Calcium Carbonate XR,Antimalarial,Mankind Pharma,Tablet,250mg,Calcium Carbonate XR 250mg Tablet is a calcium supplement used in the management of various conditions. Manufactured by Mankind Pharma. Each tablet contains 250mg of active ingredient.,Calcium Supplement,Yes,Store in dry place
812,Gemfibrozil Dispersible,Gemfibrozil Dispersible,Urological,Micro Labs,Tablet,500mg,Gemfibrozil Dispersible 500mg Tablet is a fibrate used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 500mg of active ingredient.,Fibrate,Yes,Store below 25°C
813,Dobutamine Junior,Dobutamine Junior,Ophthalmic,Aristo Pharma,Injection,250mg,Dobutamine Junior 250mg Injection is a inotrope used in the management of various conditions. Manufactured by Aristo Pharma. Each injection contains 250mg of active ingredient.,Inotrope,Yes,Store away from light
814,Calcipotriol Plus,Calcipotriol,Ophthalmic,Sanofi India,Ointment,250mg,Calcipotriol Plus 250mg Ointment is a vitamin d analogue used in the management of various conditions. Manufactured by Sanofi India. Each ointment contains 250mg of active ingredient.,Vitamin D Analogue,Yes,Store in dry place
815,Enoxaparin Plus 814,Enoxaparin,Antidepressant,Alkem Labs,Injection,20mg,Enoxaparin Plus 814 20mg Injection is a lmwh used in the management of various conditions. Manufactured by Alkem Labs. Each injection contains 20mg of active ingredient.,LMWH,Yes,Store in dry place
816,Spironolactone XR 815,Spironolactone XR,Hormonal,GSK India,Tablet,20mg,Spironolactone XR 815 20mg Tablet is a potassium-sparing diuretic used in the management of various conditions. Manufactured by GSK India. Each tablet contains 20mg of active ingredient.,Potassium-Sparing Diuretic,Yes,Store away from light
817,Vildagliptin,Vildagliptin,Urological,Max Healthcare Pharma,Tablet,50mg,Vildagliptin 50mg Tablet is a dpp-4 inhibitor used in the management of various conditions. Manufactured by Max Healthcare Pharma. Each tablet contains 50mg of active ingredient.,DPP-4 Inhibitor,No,Refrigerate 2-8°C
818,Escitalopram Sustained Release 817,Escitalopram,Antipsychotic,Micro Labs,Tablet,100mg,Escitalopram Sustained Release 817 100mg Tablet is a ssri antidepressant used in the management of various conditions. Manufactured by Micro Labs. Each tablet contains 100mg of active ingredient.,SSRI Antidepressant,No,Store in dry place
819,Furosemide Junior,Furosemide Junior,Analgesic,Aristo Pharma,Tablet,20mg,Furosemide Junior 20mg Tablet is a loop diuretic used in the management of various conditions. Manufactured by Aristo Pharma. Each tablet contains 20mg of active ingredient.,Loop Diuretic,Yes,Store below 25°C
820,Canagliflozin XR 819,Canagliflozin XR,Antifungal,Sun Pharma,Tablet,25mg,Canagliflozin XR 819 25mg Tablet is a sglt2 inhibitor used in the management of various conditions. Manufactured by Sun Pharma. Each tablet contains 25mg of active ingredient.,SGLT2 Inhibitor,Yes,Store below 25°C
821,Folic Acid Dispersible,Folic Acid Dispersible,Antimalarial,Johnson & Johnson,Tablet,50mg,Folic Acid Dispersible 50mg Tablet is a vitamin used in the management of various conditions. Manufactured by Johnson & Johnson. Each tablet contains 50mg of active ingredient.,Vitamin,Yes,Refrigerate 2-8°C
822,Ketorolac,Ketorolac,Antiepileptic,Dabur Pharma,Injection,30mg/ml,Ketorolac 30mg/ml Injection is a nsaid used in the management of various conditions. Manufactured by Dabur Pharma. Each injection contains 30mg/ml of active ingredient.,NSAID,Yes,Refrigerate 2-8°C
823,Vitamin B12,Vitamin B12,Analgesic,Cipla,Injection,1000mcg/ml,Vitamin B12 1000mcg/ml Injection is a vitamin used in the management of various conditions. Manufactured by Cipla. Each injection contains 1000mcg/ml of active ingredient.,Vitamin,Yes,Store below 25°C
824,Tiotropium IV,Tiotropium IV,Urological,Sanofi India,Inhaler,1g,Tiotropium IV 1g Inhaler is a anticholinergic bronchodilator used in the management of various conditions. Manufactured by Sanofi India. Each inhaler contains 1g of active ingredient.,Anticholinergic Bronchodilator,No,Store below 25°C
825,Fenofibrate,Fenofibrate,Antidiabetic,Himalaya,Tablet,145mg,Fenofibrate 145mg Tablet is a fibrate used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 145mg of active ingredient.,Fibrate,Yes,Refrigerate 2-8°C
826,Hydrocortisone XR 825,Hydrocortisone XR,Urological,Glenmark,Injection,20mg,Hydrocortisone XR 825 20mg Injection is a corticosteroid used in the management of various conditions. Manufactured by Glenmark. Each injection contains 20mg of active ingredient.,Corticosteroid,No,Store below 25°C
827,Folic Acid Junior,Folic Acid Junior,Anticoagulant,Himalaya,Tablet,10mg,Folic Acid Junior 10mg Tablet is a vitamin used in the management of various conditions. Manufactured by Himalaya. Each tablet contains 10mg of active ingredient.,Vitamin,Yes,Store in dry place
828,Ivermectin,Ivermectin,Urological,Emcure Pharma,Tablet,6mg,Ivermectin 6mg Tablet is a antiparasitic used in the management of various conditions. Manufactured by Emcure Pharma. Each tablet contains 6mg of active ingredient.,Antiparasitic,Yes,Store away from light
829,Dextromethorphan Junior,Dextromethorphan Junior,Antifungal,Alkem Labs,Syrup,10mg,Dextromethorphan Junior 10mg Syrup is a cough suppressant used in the management of various conditions. Manufactured by Alkem Labs. Each syrup contains 10mg of active ingredient.,Cough Suppressant,Yes,Store in dry place
830,Morphine,Morphine,Antihypertensive,Pfizer India,Injection,10mg/ml,Morphine 10mg/ml Injection is a opioid analgesic used in the management of various conditions. Manufactured by Pfizer India. Each injection contains 10mg/ml of active ingredient.,Opioid Analgesic,Yes,Store below 25°C
831,Testosterone Junior 830,Testosterone Junior,Antiviral,Glenmark,Injection,20mg,Testosterone Junior 830 20mg Injection is a androgen used in the management of various conditions. Manufactured by Glenmark. Each injection contains 20mg of active ingredient.,Androgen,Yes,Store below 25°C
