id,name,department,sample_type,description,turnaround_time,fasting_required,normal_range,cost_category
581,Fluorescent X-Ray Abdomen (Erect),Radiology,—,"fluorescent method of Evaluates bowel obstruction, perforation",Same day,12 hours,Age/sex dependent,Basic
582,Fluorescent Blood Urea Nitrogen (581),Biochemistry,Blood (Plain),fluorescent method of Assesses kidney function and protein catabolism,24 hours,12 hours,Age/sex dependent,Specialized
583,Stool for Occult Blood (FOB),Biochemistry,Stool,Colorectal cancer and GI bleeding screening,6 hours,Yes,Lab-specific,Specialized
584,Urine Bence-Jones Protein,Biochemistry,Urine (24h),Multiple myeloma screening marker,2 hours,Yes,See report,Advanced
585,Fluorescent Renal Biopsy,Pathology,CSF,fluorescent method of Glomerular disease classification,72 hours,No,See report,Standard
586,Qualitative COVID-19 RT-PCR,Microbiology,Sputum,qualitative method of Molecular detection of SARS-CoV-2,24 hours,No,Age/sex dependent,Basic
587,Confirmatory Throat Swab Culture (586),Microbiology,Blood (Plain),confirmatory method of Identifies Streptococcus and other pharyngeal pathogens,24 hours,No,Standardized,Specialized
588,Digital SGOT/AST,Biochemistry,Blood (Plain),digital method of Liver and muscle enzyme marker,2 hours,8 hours,Age/sex dependent,Advanced
589,High-Sensitivity Free T3 and T4,Biochemistry,Blood (Plain),high-sensitivity method of Thyroid hormone levels for hypo/hyperthyroidism,2 hours,8 hours,Age/sex dependent,Standard
590,Point-of-Care Sigmoidoscopy,Endoscopy,—,point-of-care method of Sigmoid colon and rectum examination,2 hours,No,Lab-specific,Specialized
591,Advanced Stool for Ova and Parasite,Microbiology,Stool,advanced method of Intestinal parasitic infection detection,6 hours,12 hours,Standardized,Basic
592,Quantitative CT Scan Abdomen and Pelvis,Radiology,—,quantitative method of Detailed abdominal organ and vascular imaging,6 hours,12 hours,Standardized,Specialized
593,Peak Expiratory Flow Rate (PEFR),Pulmonology,Breath,Asthma monitoring tool,1 hour,Yes,Age/sex dependent,Standard
594,Conventional Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"conventional method of Measures sodium, potassium, chloride levels",2 hours,8 hours,See report,Basic
595,Fluorescent Upper GI Endoscopy (OGD Scope),Endoscopy,—,"fluorescent method of Visualization of esophagus, stomach, duodenum",24 hours,No,Standardized,Advanced
596,Digital Reticulocyte Count,Hematology,Blood (EDTA),digital method of Counts immature red blood cells to assess bone marrow activity,2 hours,12 hours,See report,Standard
597,Confirmatory X-Ray Spine (Cervical/Lumbar),Radiology,—,confirmatory method of Evaluates vertebral alignment and disc spaces,72 hours,Yes,Age/sex dependent,Specialized
598,Confirmatory ANCA (Anti-Neutrophil Cytoplasmic Antibody),Immunology,Blood (Plain),confirmatory method of Vasculitis screening marker,4 hours,No,Age/sex dependent,Advanced
599,Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,Exercise-induced cardiac ischemia assessment,4 hours,No,Age/sex dependent,Advanced
600,Digital Liver Biopsy,Pathology,Urine (Spot),digital method of Hepatic fibrosis staging and diagnosis,1 hour,8 hours,Standardized,Advanced
601,Conventional HIV ELISA (1&2),Microbiology,Blood (Plain),conventional method of Screening test for HIV infection,72 hours,8 hours,Age/sex dependent,Standard
602,Conventional CT Scan Abdomen and Pelvis (601),Radiology,—,conventional method of Detailed abdominal organ and vascular imaging,4 hours,12 hours,Age/sex dependent,Specialized
603,Advanced Intraocular Pressure (Tonometry),Ophthalmology,—,advanced method of Glaucoma screening and monitoring,Same day,8 hours,Standardized,Specialized
604,Fluorescent CPK/CK (Creatine Kinase) (603),Biochemistry,Blood (Plain),fluorescent method of Muscle/heart enzyme marker for MI and myopathy,24 hours,8 hours,Lab-specific,Standard
605,Extended Intraocular Pressure (Tonometry),Ophthalmology,—,extended method of Glaucoma screening and monitoring,Same day,Yes,See report,Advanced
606,Confirmatory Liver Biopsy,Pathology,Urine (24h),confirmatory method of Hepatic fibrosis staging and diagnosis,1 hour,No,See report,Basic
607,Confirmatory BRCA1/BRCA2 Gene Testing,Genetics,Blood (EDTA),confirmatory method of Hereditary breast/ovarian cancer risk assessment,1 hour,No,Age/sex dependent,Specialized
608,Confirmatory Peak Expiratory Flow Rate (PEFR),Pulmonology,Breath,confirmatory method of Asthma monitoring tool,6 hours,No,See report,Standard
609,COVID-19 RT-PCR,Microbiology,Blood (Citrate),Molecular detection of SARS-CoV-2,2 hours,8 hours,Age/sex dependent,Basic
610,Fluorescent SGPT/ALT,Biochemistry,Blood (Plain),fluorescent method of Liver-specific enzyme for hepatocellular damage,6 hours,Yes,Age/sex dependent,Specialized
611,Point-of-Care OCT (Optical Coherence Tomography),Ophthalmology,—,point-of-care method of Retinal layer cross-sectional imaging,72 hours,Yes,Lab-specific,Advanced
612,Advanced Urine Bence-Jones Protein,Biochemistry,Urine (24h),advanced method of Multiple myeloma screening marker,4 hours,Yes,Age/sex dependent,Specialized
613,Serial H. Pylori Antigen (Stool),Microbiology,Stool,serial method of H. pylori infection detection in stool,Same day,12 hours,Standardized,Advanced
614,Qualitative Spirometry (PFT),Pulmonology,Breath,qualitative method of Lung function assessment for asthma and COPD,4 hours,12 hours,Lab-specific,Advanced
615,Extended Insulin Level (614),Biochemistry,Blood (Plain),extended method of Measures insulin for insulin resistance assessment,72 hours,12 hours,Age/sex dependent,Advanced
616,MRI Brain,Radiology,—,"Detailed CNS imaging for tumors, MS, stroke",4 hours,Yes,Lab-specific,Specialized
617,Confirmatory Lumbar Puncture (CSF Analysis),Neurology,CSF,confirmatory method of CNS infection and demyelination diagnosis,4 hours,8 hours,Age/sex dependent,Standard
618,Sputum for AFB (Acid-Fast Bacilli),Microbiology,Sputum,Screens for Mycobacterium tuberculosis,2 hours,No,Lab-specific,Basic
619,Bone Marrow Biopsy,Hematology,Swab,Histological examination of bone marrow for hematologic disorders,4 hours,No,See report,Standard
620,Fluorescent Chromosomal Karyotyping,Genetics,Blood (Fluoride Oxalate),fluorescent method of Chromosomal abnormality detection,4 hours,Yes,Age/sex dependent,Basic
621,Ultrasound Obstetric,Radiology,—,"Fetal growth, placenta, amniotic fluid assessment",1 hour,12 hours,See report,Basic
622,Conventional Alkaline Phosphatase,Biochemistry,Blood (Plain),conventional method of Liver/bone enzyme elevated in cholestasis,6 hours,12 hours,Age/sex dependent,Advanced
623,Mammography,Radiology,—,Breast tissue screening for cancer,4 hours,No,Standardized,Specialized
624,Qualitative EMG (Electromyography) (623),Neurology,—,qualitative method of Muscle electrical activity assessment,1 hour,No,Standardized,Advanced
625,Serial Colonoscopy,Endoscopy,—,serial method of Colon and rectum visualization for polyps/cancer,2 hours,12 hours,Lab-specific,Standard
626,Immunoassay Skin Biopsy,Pathology,—,immunoassay method of Histological skin lesion diagnosis,24 hours,12 hours,Standardized,Specialized
627,Extended EMG (Electromyography),Neurology,—,extended method of Muscle electrical activity assessment,Same day,8 hours,Age/sex dependent,Advanced
628,Conventional Anti-dsDNA Antibody,Immunology,Blood (Plain),conventional method of Specific for Systemic Lupus Erythematosus,4 hours,12 hours,Lab-specific,Basic
629,EMG (Electromyography),Neurology,—,Muscle electrical activity assessment,24 hours,No,See report,Advanced
630,Quantitative X-Ray Abdomen (Erect) (629),Radiology,—,"quantitative method of Evaluates bowel obstruction, perforation",48 hours,No,See report,Advanced
631,Point-of-Care X-Ray Abdomen (Erect),Radiology,—,"point-of-care method of Evaluates bowel obstruction, perforation",1 hour,No,Standardized,Basic
632,Advanced Bone Scan (DEXA),Radiology,—,advanced method of Bone mineral density for osteoporosis diagnosis,72 hours,No,See report,Advanced
633,Confirmatory COVID-19 Antigen Test,Microbiology,Tissue,confirmatory method of Rapid antigen detection for COVID-19,6 hours,No,Standardized,Standard
634,Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),Syphilis activity monitoring test,4 hours,Yes,Age/sex dependent,Standard
635,Advanced PSA (Prostate Specific Antigen) (634),Biochemistry,Blood (Plain),advanced method of Prostate cancer screening marker,4 hours,No,Lab-specific,Advanced
636,Advanced Sputum Culture,Microbiology,Sputum,advanced method of Identifies respiratory pathogens,4 hours,Yes,Standardized,Specialized
637,Advanced OCT (Optical Coherence Tomography),Ophthalmology,—,advanced method of Retinal layer cross-sectional imaging,2 hours,8 hours,Lab-specific,Standard
638,Extended Serum Phosphorus,Biochemistry,Blood (Plain),extended method of Measures phosphate for bone mineral metabolism,6 hours,No,Age/sex dependent,Specialized
639,Advanced GGT (Gamma-GT) (638),Biochemistry,Blood (Plain),advanced method of Sensitive liver enzyme for alcohol and biliary disease,6 hours,No,Age/sex dependent,Specialized
640,Confirmatory CA 19-9,Biochemistry,Blood (Plain),confirmatory method of Pancreatic cancer monitoring marker,Same day,12 hours,See report,Advanced
641,Confirmatory Liver Biopsy (640),Pathology,Swab,confirmatory method of Hepatic fibrosis staging and diagnosis,72 hours,12 hours,Lab-specific,Standard
642,Rapid Typhoid Widal Test,Microbiology,Blood (Plain),rapid method of Antibody test for Salmonella typhi,48 hours,8 hours,Lab-specific,Basic
643,Rapid Urine Bence-Jones Protein (642),Biochemistry,Urine (24h),rapid method of Multiple myeloma screening marker,24 hours,8 hours,Age/sex dependent,Advanced
644,Conventional CEA (Carcinoembryonic Antigen),Biochemistry,Blood (Plain),conventional method of Tumor marker for colorectal cancer monitoring,2 hours,No,Standardized,Advanced
645,SGPT/ALT,Biochemistry,Blood (Plain),Liver-specific enzyme for hepatocellular damage,1 hour,No,Lab-specific,Advanced
646,High-Sensitivity Stool for Occult Blood (FOB),Biochemistry,Stool,high-sensitivity method of Colorectal cancer and GI bleeding screening,2 hours,No,See report,Specialized
647,Immunoassay Sputum Culture,Microbiology,Sputum,immunoassay method of Identifies respiratory pathogens,6 hours,12 hours,Standardized,Basic
648,Serial Serum Calcium,Biochemistry,Blood (Plain),serial method of Measures total calcium for bone and parathyroid assessment,6 hours,12 hours,Age/sex dependent,Standard
649,Extended Thyroglobulin Antibody (648),Biochemistry,Blood (Plain),extended method of Thyroid autoimmunity and cancer monitoring,6 hours,No,Lab-specific,Basic
650,Qualitative Sigmoidoscopy,Endoscopy,—,qualitative method of Sigmoid colon and rectum examination,2 hours,No,Age/sex dependent,Advanced
651,Qualitative Chest X-Ray (PA View),Radiology,—,"qualitative method of Imaging of lungs, heart, and mediastinum",1 hour,No,Lab-specific,Basic
652,Confirmatory CA-125,Biochemistry,Blood (Plain),confirmatory method of Ovarian cancer biomarker,1 hour,8 hours,Standardized,Advanced
653,Confirmatory Reticulocyte Count,Hematology,Blood (EDTA),confirmatory method of Counts immature red blood cells to assess bone marrow activity,72 hours,8 hours,Lab-specific,Specialized
654,Serial CT Scan Head (Plain/Contrast),Radiology,—,"serial method of Brain imaging for stroke, tumor, trauma",24 hours,No,Lab-specific,Advanced
655,Automated Holter Monitor (24-hour ECG),Cardiology,—,automated method of Continuous cardiac rhythm monitoring,1 hour,Yes,Lab-specific,Basic
656,Urine Culture and Sensitivity,Microbiology,Urine (Mid-Stream),Identifies uropathogens and antibiotic sensitivity,Same day,8 hours,Lab-specific,Advanced
657,Point-of-Care COVID-19 RT-PCR,Microbiology,Tissue,point-of-care method of Molecular detection of SARS-CoV-2,2 hours,8 hours,See report,Advanced
658,Automated Stool for Ova and Parasite,Microbiology,Stool,automated method of Intestinal parasitic infection detection,2 hours,8 hours,Lab-specific,Standard
659,Advanced FeNO (Fractional Exhaled Nitric Oxide),Pulmonology,Breath,advanced method of Airway eosinophilic inflammation marker,2 hours,Yes,Lab-specific,Standard
660,Digital HbA1c (Glycated Hemoglobin) (659),Biochemistry,Blood (EDTA),digital method of 3-month average blood glucose control marker,24 hours,Yes,See report,Specialized
661,Qualitative Troponin I/T (660),Biochemistry,Blood (Plain),qualitative method of High-sensitivity cardiac marker for acute MI,6 hours,12 hours,Age/sex dependent,Standard
662,Rapid Cardiac Catheterization,Cardiology,Blood (EDTA),rapid method of Hemodynamic assessment of cardiac chambers,6 hours,Yes,Standardized,Advanced
663,Extended MRI Brain,Radiology,—,"extended method of Detailed CNS imaging for tumors, MS, stroke",2 hours,No,Standardized,Basic
664,BCR-ABL PCR,Endoscopy,Blood (Plain),CML monitoring and diagnosis,4 hours,12 hours,See report,Standard
665,Advanced Intraocular Pressure (Tonometry) (664),Ophthalmology,—,advanced method of Glaucoma screening and monitoring,4 hours,Yes,Lab-specific,Standard
666,Quantitative Rheumatoid Factor (RF),Immunology,Blood (Plain),quantitative method of Antibody marker for rheumatoid arthritis,2 hours,12 hours,Standardized,Advanced
667,Rapid Immunoglobulins (IgG/IgM/IgA),Immunology,Blood (Plain),rapid method of Measures antibody levels for immunodeficiency,4 hours,Yes,See report,Basic
668,Digital CT Scan Chest (HRCT),Radiology,—,digital method of High-resolution lung parenchyma imaging,2 hours,Yes,Standardized,Advanced
669,Conventional Coronary Angiography (CAG),Cardiology,Blood (Plain),conventional method of Invasive visualization of coronary arteries,4 hours,No,See report,Basic
670,Point-of-Care Nerve Conduction Velocity (NCV),Neurology,—,point-of-care method of Peripheral nerve function assessment,1 hour,12 hours,Lab-specific,Specialized
671,Immunoassay Lymph Node Biopsy,Pathology,Tissue,immunoassay method of Diagnosis of lymphoma and metastatic disease,72 hours,No,Lab-specific,Standard
672,Digital H. Pylori Antigen (Stool) (671),Microbiology,Stool,digital method of H. pylori infection detection in stool,1 hour,8 hours,Lab-specific,Advanced
673,Automated CT Scan Abdomen and Pelvis,Radiology,—,automated method of Detailed abdominal organ and vascular imaging,48 hours,8 hours,Lab-specific,Basic
674,High-Sensitivity BCR-ABL PCR (673),Ophthalmology,Blood (Citrate),high-sensitivity method of CML monitoring and diagnosis,72 hours,8 hours,See report,Standard
675,Extended CT Scan Head (Plain/Contrast),Radiology,—,"extended method of Brain imaging for stroke, tumor, trauma",Same day,No,See report,Basic
676,Extended Treadmill Test (TMT/Exercise Stress Test),Cardiology,—,extended method of Exercise-induced cardiac ischemia assessment,Same day,Yes,Standardized,Standard
677,Confirmatory Lymph Node Biopsy (676),Pathology,Tissue,confirmatory method of Diagnosis of lymphoma and metastatic disease,24 hours,Yes,Age/sex dependent,Standard
678,Fluorescent C-Peptide (677),Biochemistry,Blood (Plain),fluorescent method of Distinguishes Type 1 from Type 2 diabetes,4 hours,8 hours,Standardized,Standard
679,Confirmatory Coagulation Profile (PT/INR/aPTT) (678),Hematology,Blood (Citrate),confirmatory method of Assesses clotting factor function and anticoagulation therapy,1 hour,No,Age/sex dependent,Specialized
680,Point-of-Care PSA (Prostate Specific Antigen) (679),Biochemistry,Blood (Plain),point-of-care method of Prostate cancer screening marker,48 hours,Yes,See report,Standard
681,Rapid Immunoglobulins (IgG/IgM/IgA) (680),Immunology,Blood (Plain),rapid method of Measures antibody levels for immunodeficiency,24 hours,No,Standardized,Basic
682,BAER (Brainstem Auditory Evoked Response),Neurology,—,Brainstem and auditory pathway assessment,2 hours,No,Standardized,Basic
683,Point-of-Care Visual Evoked Potential (VEP),Neurology,—,point-of-care method of Optic nerve function assessment,4 hours,8 hours,Lab-specific,Advanced
684,Advanced Electrocardiogram (ECG/EKG) (683),Cardiology,—,advanced method of 12-lead cardiac electrical activity recording,24 hours,8 hours,Age/sex dependent,Advanced
685,Serial Serum Iron and TIBC (684),Biochemistry,Blood (Plain),serial method of Iron metabolism panel for anemia classification,Same day,No,Lab-specific,Basic
686,Advanced BAER (Brainstem Auditory Evoked Response),Neurology,—,advanced method of Brainstem and auditory pathway assessment,Same day,Yes,Lab-specific,Basic
687,Automated Alkaline Phosphatase,Biochemistry,Blood (Plain),automated method of Liver/bone enzyme elevated in cholestasis,4 hours,12 hours,See report,Advanced
688,Advanced Liver Function Tests,Biochemistry,Blood (Plain),"advanced method of Panel measuring bilirubin, albumin, liver enzymes",2 hours,8 hours,Lab-specific,Advanced
689,Immunoassay D-Dimer (688),Hematology,Blood (Citrate),immunoassay method of Fibrin degradation product indicating thrombosis or DIC,6 hours,12 hours,Age/sex dependent,Basic
690,Qualitative Serum Uric Acid,Biochemistry,Blood (Plain),qualitative method of Measures uric acid for gout and kidney stone assessment,4 hours,Yes,Standardized,Basic
691,Advanced Serum Iron and TIBC (690),Biochemistry,Blood (Plain),advanced method of Iron metabolism panel for anemia classification,48 hours,12 hours,See report,Advanced
692,Advanced Visual Evoked Potential (VEP),Neurology,—,advanced method of Optic nerve function assessment,6 hours,No,Lab-specific,Specialized
693,Point-of-Care HLA-B27,Immunology,Blood (EDTA),point-of-care method of Genetic marker for ankylosing spondylitis,2 hours,8 hours,Age/sex dependent,Specialized
694,Quantitative Treadmill Test (TMT/Exercise Stress Test) (693),Cardiology,—,quantitative method of Exercise-induced cardiac ischemia assessment,4 hours,Yes,Lab-specific,Specialized
695,Advanced Insulin Level (694),Biochemistry,Blood (Plain),advanced method of Measures insulin for insulin resistance assessment,1 hour,No,See report,Basic
696,Confirmatory HSG (Hysterosalpingography),Radiology,—,confirmatory method of Uterine and fallopian tube patency assessment,1 hour,8 hours,Standardized,Advanced
697,Confirmatory Serum Uric Acid,Biochemistry,Blood (Plain),confirmatory method of Measures uric acid for gout and kidney stone assessment,72 hours,8 hours,Standardized,Specialized
698,Fluorescent Stool Culture,Microbiology,Stool,fluorescent method of Identifies enteric pathogens in GI infections,2 hours,8 hours,Standardized,Specialized
699,Renal Biopsy,Pathology,Urine (24h),Glomerular disease classification,Same day,12 hours,Lab-specific,Standard
700,Automated SGPT/ALT,Biochemistry,Blood (Plain),automated method of Liver-specific enzyme for hepatocellular damage,Same day,12 hours,See report,Standard
701,Conventional X-Ray Spine (Cervical/Lumbar),Radiology,—,conventional method of Evaluates vertebral alignment and disc spaces,Same day,12 hours,Standardized,Basic
702,Conventional Echocardiography (Echo),Cardiology,—,conventional method of Cardiac structure and function assessment,2 hours,Yes,See report,Basic
703,Digital Ambulatory Blood Pressure Monitoring,Cardiology,—,digital method of 24-hour blood pressure pattern assessment,2 hours,Yes,Lab-specific,Basic
704,Automated HIV ELISA (1&2),Microbiology,Blood (Plain),automated method of Screening test for HIV infection,48 hours,No,See report,Advanced
705,Insulin Level,Biochemistry,Blood (Plain),Measures insulin for insulin resistance assessment,48 hours,8 hours,See report,Advanced
706,Fluorescent Vitamin B12,Biochemistry,Blood (Plain),fluorescent method of Measures cobalamin for neuropathy and anemia,4 hours,12 hours,See report,Basic
707,Fluorescent Sigmoidoscopy,Endoscopy,—,fluorescent method of Sigmoid colon and rectum examination,2 hours,8 hours,Standardized,Basic
708,Conventional Stool Culture,Microbiology,Stool,conventional method of Identifies enteric pathogens in GI infections,4 hours,Yes,See report,Specialized
709,Serum Albumin,Biochemistry,Blood (Plain),Protein marker for nutritional status and liver function,1 hour,12 hours,See report,Standard
710,Conventional Peripheral Blood Smear,Hematology,Blood (EDTA),conventional method of Microscopic examination of blood cells for morphology,1 hour,12 hours,Standardized,Basic
711,Advanced Sigmoidoscopy,Endoscopy,—,advanced method of Sigmoid colon and rectum examination,6 hours,Yes,Standardized,Standard
712,Advanced Coronary Angiography (CAG),Cardiology,Urine (24h),advanced method of Invasive visualization of coronary arteries,2 hours,Yes,Age/sex dependent,Specialized
713,Confirmatory X-Ray Abdomen (Erect),Radiology,—,"confirmatory method of Evaluates bowel obstruction, perforation",Same day,12 hours,Age/sex dependent,Standard
714,Fluorescent Insulin Level,Biochemistry,Blood (Plain),fluorescent method of Measures insulin for insulin resistance assessment,48 hours,No,See report,Standard
715,Automated Platelet Count,Hematology,Blood (EDTA),automated method of Quantifies platelets for bleeding/clotting assessment,1 hour,Yes,Standardized,Standard
716,Extended Malarial Antigen (RDT),Microbiology,Urine (24h),extended method of Rapid detection of Plasmodium species antigens,24 hours,12 hours,Standardized,Advanced
717,Thyroglobulin Antibody,Biochemistry,Blood (Plain),Thyroid autoimmunity and cancer monitoring,Same day,12 hours,See report,Standard
718,Conventional Rapid Plasma Reagin (RPR),Microbiology,Blood (Plain),conventional method of Syphilis activity monitoring test,2 hours,Yes,Age/sex dependent,Standard
719,Confirmatory Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"confirmatory method of Measures sodium, potassium, chloride levels",6 hours,12 hours,Lab-specific,Advanced
720,Extended Stool for Occult Blood (FOB),Biochemistry,Stool,extended method of Colorectal cancer and GI bleeding screening,Same day,12 hours,Standardized,Advanced
721,Immunoassay Troponin I/T,Biochemistry,Blood (Plain),immunoassay method of High-sensitivity cardiac marker for acute MI,4 hours,Yes,Age/sex dependent,Basic
722,Digital Chromosomal Karyotyping,Genetics,Sputum,digital method of Chromosomal abnormality detection,6 hours,No,Standardized,Basic
723,Digital CPK/CK (Creatine Kinase),Biochemistry,Blood (Plain),digital method of Muscle/heart enzyme marker for MI and myopathy,1 hour,Yes,Age/sex dependent,Advanced
724,Conventional ANCA (Anti-Neutrophil Cytoplasmic Antibody) (723),Immunology,Blood (Plain),conventional method of Vasculitis screening marker,48 hours,12 hours,See report,Specialized
725,Extended Electrocardiogram (ECG/EKG),Cardiology,—,extended method of 12-lead cardiac electrical activity recording,24 hours,Yes,See report,Basic
726,Confirmatory Dengue IgM/IgG Antibodies,Microbiology,Blood (Plain),confirmatory method of Serological diagnosis of dengue fever,1 hour,12 hours,Standardized,Advanced
727,Immunoassay Intraocular Pressure (Tonometry),Ophthalmology,—,immunoassay method of Glaucoma screening and monitoring,2 hours,8 hours,See report,Basic
728,Digital CPK/CK (Creatine Kinase) (727),Biochemistry,Blood (Plain),digital method of Muscle/heart enzyme marker for MI and myopathy,Same day,No,See report,Specialized
729,Automated SGOT/AST,Biochemistry,Blood (Plain),automated method of Liver and muscle enzyme marker,1 hour,8 hours,Lab-specific,Basic
730,Advanced Colonoscopy,Endoscopy,—,advanced method of Colon and rectum visualization for polyps/cancer,24 hours,No,See report,Specialized
731,Immunoassay MRI Knee,Radiology,—,"immunoassay method of Ligament, meniscus, and cartilage evaluation",1 hour,8 hours,Standardized,Advanced
732,Immunoassay Procalcitonin,Biochemistry,Blood (Plain),immunoassay method of Sepsis biomarker distinguishing bacterial from viral,72 hours,No,See report,Standard
733,High-Sensitivity Bronchoscopy,Endoscopy,—,high-sensitivity method of Airway visualization and bronchial biopsy,72 hours,12 hours,See report,Advanced
734,Fluorescent H. Pylori Antigen (Stool),Microbiology,Stool,fluorescent method of H. pylori infection detection in stool,48 hours,8 hours,See report,Advanced
735,High-Sensitivity Complement (C3/C4),Immunology,Blood (Plain),high-sensitivity method of Complement system evaluation for autoimmune disease,48 hours,Yes,Lab-specific,Standard
736,Point-of-Care Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"point-of-care method of Measures sodium, potassium, chloride levels",72 hours,8 hours,See report,Advanced
737,Extended Hemoglobin Estimation,Hematology,Blood (EDTA),extended method of Measures hemoglobin concentration in blood,72 hours,8 hours,Lab-specific,Standard
738,Fluorescent ANA (Antinuclear Antibody),Immunology,Blood (Plain),fluorescent method of Screening test for autoimmune disorders,4 hours,8 hours,Standardized,Standard
739,Digital Pulse Oximetry,Pulmonology,—,digital method of Non-invasive SpO2 monitoring,6 hours,8 hours,See report,Advanced
740,High-Sensitivity Cardiac Catheterization,Cardiology,Arterial Blood,high-sensitivity method of Hemodynamic assessment of cardiac chambers,1 hour,Yes,Age/sex dependent,Standard
741,Digital Core Needle Biopsy (740),Pathology,—,digital method of Histological examination of solid tumors,48 hours,No,See report,Standard
742,Serum Phosphorus,Biochemistry,Blood (Plain),Measures phosphate for bone mineral metabolism,72 hours,Yes,Standardized,Standard
743,Complement (C3/C4),Immunology,Blood (Plain),Complement system evaluation for autoimmune disease,2 hours,Yes,Standardized,Basic
744,Qualitative Nerve Conduction Velocity (NCV),Neurology,—,qualitative method of Peripheral nerve function assessment,4 hours,Yes,Age/sex dependent,Basic
745,Point-of-Care Mammography,Radiology,—,point-of-care method of Breast tissue screening for cancer,2 hours,No,Age/sex dependent,Advanced
746,Serial HCG (Beta),Biochemistry,—,serial method of Pregnancy test and testicular/trophoblastic tumor marker,4 hours,Yes,See report,Advanced
747,Conventional Serum Ferritin,Biochemistry,Blood (Plain),conventional method of Iron storage marker for anemia and iron overload,1 hour,8 hours,See report,Basic
748,Qualitative Renal Biopsy,Pathology,Sputum,qualitative method of Glomerular disease classification,48 hours,8 hours,Age/sex dependent,Standard
749,Fluorescent Holter Monitor (24-hour ECG),Cardiology,—,fluorescent method of Continuous cardiac rhythm monitoring,4 hours,Yes,Standardized,Specialized
750,Advanced Free T3 and T4 (749),Biochemistry,Blood (Plain),advanced method of Thyroid hormone levels for hypo/hyperthyroidism,6 hours,12 hours,Age/sex dependent,Advanced
751,Point-of-Care Endometrial Biopsy,Pathology,—,point-of-care method of Uterine pathology assessment,1 hour,No,See report,Basic
752,MRSA Screening,Microbiology,Urine (Mid-Stream),Screens for methicillin-resistant Staphylococcus aureus,1 hour,12 hours,Standardized,Specialized
753,Fluorescent Serum Albumin,Biochemistry,Blood (Plain),fluorescent method of Protein marker for nutritional status and liver function,72 hours,Yes,Lab-specific,Standard
754,ESR (Erythrocyte Sedimentation Rate),Hematology,Blood (EDTA),Measures rate of red blood cell sedimentation,48 hours,Yes,Age/sex dependent,Advanced
755,Automated PSA (Prostate Specific Antigen),Biochemistry,Blood (Plain),automated method of Prostate cancer screening marker,2 hours,Yes,Lab-specific,Advanced
756,Coagulation Profile (PT/INR/aPTT),Hematology,Blood (Citrate),Assesses clotting factor function and anticoagulation therapy,Same day,No,Standardized,Standard
757,Automated Mammography,Radiology,—,automated method of Breast tissue screening for cancer,72 hours,12 hours,Standardized,Basic
758,Digital 24-Hour Urine Protein (757),Biochemistry,Urine (24h),digital method of Quantifies proteinuria for renal disease staging,Same day,Yes,Age/sex dependent,Standard
759,Ambulatory Blood Pressure Monitoring,Cardiology,—,24-hour blood pressure pattern assessment,2 hours,8 hours,See report,Advanced
760,Extended Fasting Blood Glucose (759),Biochemistry,Blood (Fluoride Oxalate),extended method of Measures blood sugar after 8-hour fast,2 hours,8 hours,Standardized,Basic
761,Vitamin D (25-OH),Biochemistry,Blood (Plain),Measures vitamin D status,72 hours,No,Lab-specific,Advanced
762,Qualitative SGOT/AST,Biochemistry,Blood (Plain),qualitative method of Liver and muscle enzyme marker,Same day,No,Age/sex dependent,Advanced
763,Quantitative Echocardiography (Echo) (762),Cardiology,—,quantitative method of Cardiac structure and function assessment,24 hours,Yes,Standardized,Advanced
764,High-Sensitivity ABG (Arterial Blood Gas),Pulmonology,Arterial Blood,"high-sensitivity method of Blood pH, oxygenation, and CO2 assessment",4 hours,8 hours,See report,Advanced
765,Advanced CT Scan Head (Plain/Contrast),Radiology,—,"advanced method of Brain imaging for stroke, tumor, trauma",Same day,12 hours,Standardized,Standard
766,Digital Serum Electrolytes (Na/K/Cl),Biochemistry,Blood (Plain),"digital method of Measures sodium, potassium, chloride levels",Same day,12 hours,See report,Specialized
767,Confirmatory GGT (Gamma-GT),Biochemistry,Blood (Plain),confirmatory method of Sensitive liver enzyme for alcohol and biliary disease,72 hours,8 hours,Lab-specific,Basic
768,Liver Function Tests,Biochemistry,Blood (Plain),"Panel measuring bilirubin, albumin, liver enzymes",72 hours,Yes,Lab-specific,Specialized
769,Serial Serum Bilirubin (Total/Direct),Biochemistry,Blood (Plain),serial method of Measures bilirubin for jaundice evaluation,2 hours,12 hours,Lab-specific,Standard
770,Qualitative PET Scan,Radiology,—,qualitative method of Metabolic imaging for cancer staging and response,24 hours,No,Standardized,Specialized
771,Immunoassay Folate Level,Biochemistry,Blood (Plain),immunoassay method of Measures folic acid for megaloblastic anemia,4 hours,Yes,Lab-specific,Specialized
772,HIV ELISA (1&2),Microbiology,Blood (Plain),Screening test for HIV infection,48 hours,No,See report,Advanced
773,High-Sensitivity HbA1c (Glycated Hemoglobin),Biochemistry,Blood (EDTA),high-sensitivity method of 3-month average blood glucose control marker,4 hours,8 hours,Standardized,Advanced
